Student_ID,CGPA,Attendance,Backlogs,Year,Python,Java,DSA,SQL,OOP,DBMS,OS,CN,Git,Linux,Docker,Cloud,Projects,Internship,Certifications,Hackathons,OpenSource,LeetCode,Communication,Teamwork,Leadership,EmployabilityStatus
67,5.57,58,4,3,1,0,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,50,1,1,0,2
68,8.91,99,0,3,2,2,2,2,2,2,2,1,1,1,1,1,6,0,5,1,0,471,1,1,0,1
69,8.12,70,0,4,2,1,2,1,1,2,2,1,1,1,1,0,7,1,2,1,0,541,2,1,0,0
70,8.58,83,1,3,2,1,2,2,1,1,2,2,1,1,1,1,5,1,4,1,0,460,2,1,2,1
71,8.15,75,0,3,2,1,1,1,2,2,2,1,1,1,0,0,5,0,4,1,0,121,2,2,0,0
72,6.85,83,0,4,2,1,2,2,1,1,1,2,1,1,1,0,8,0,2,1,1,608,1,1,2,0
73,6.94,66,2,3,2,2,2,2,2,2,2,2,1,1,1,0,7,1,2,5,0,549,2,1,2,1
74,6.12,82,5,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,61,0,0,0,2
75,7.03,92,0,3,1,1,1,1,2,1,1,0,1,1,0,0,5,0,3,3,0,138,1,2,0,2
76,8.5,81,1,4,2,1,1,1,1,1,2,2,1,1,1,1,6,1,2,1,0,501,1,1,1,0
77,7.95,94,0,2,1,2,1,2,1,1,2,2,1,1,0,0,5,1,2,2,1,169,1,1,0,0
78,7.91,84,0,2,2,2,2,1,2,1,0,0,1,1,1,0,4,1,4,2,0,442,1,2,2,1
79,7.2,88,0,3,1,2,2,2,2,2,2,2,1,1,0,0,2,1,3,1,0,359,1,2,0,0
80,9.78,86,0,3,2,1,2,1,2,2,2,1,1,1,1,1,8,1,6,5,1,638,2,2,1,1
81,7.36,75,0,3,2,0,1,2,1,2,0,2,1,1,0,0,3,1,4,3,1,425,2,1,1,0
82,9.25,91,0,3,2,1,2,2,2,2,2,2,1,1,1,1,7,1,4,5,0,669,2,2,1,1
83,8.49,84,1,2,2,2,2,2,1,2,2,2,1,1,1,1,5,1,3,1,0,646,1,1,2,1
84,6.3,71,5,3,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,59,0,1,1,2
85,7.21,84,2,4,2,2,2,2,1,1,1,0,1,1,1,0,8,0,2,1,1,435,1,1,0,0
86,7.42,80,1,4,2,2,2,2,2,2,1,1,1,1,1,0,6,0,2,4,0,406,1,1,2,0
87,9.56,98,0,2,1,1,0,0,2,1,2,1,1,1,0,0,3,1,1,0,0,107,2,2,0,0
88,8.96,91,1,3,2,2,2,2,1,1,1,1,1,1,1,1,5,1,2,1,0,508,1,2,1,1
89,9.56,92,0,4,1,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,13,1,1,0,2
90,7.98,86,0,4,2,0,1,1,1,2,0,0,1,1,0,0,3,0,2,3,1,323,0,2,1,0
91,8.15,88,2,4,1,2,2,2,1,1,2,0,1,1,0,0,3,0,4,3,1,338,0,1,1,0
92,8.86,95,0,3,0,1,1,0,2,2,2,1,1,1,0,0,3,0,0,0,1,67,0,1,1,0
93,6.5,56,2,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,50,0,0,1,2
94,9.12,85,0,3,2,2,2,2,2,2,2,2,1,1,1,1,8,1,7,2,0,533,2,1,1,1
95,7.87,73,0,3,2,2,2,1,1,2,1,1,1,1,1,0,5,1,2,3,1,547,2,2,1,0
96,7.25,89,0,3,2,2,2,2,1,1,2,2,1,1,1,0,6,1,3,2,1,537,1,2,0,1
97,7.42,82,1,4,2,1,1,1,2,2,1,0,1,1,0,0,5,0,2,3,0,259,0,1,0,0
98,9.15,82,0,4,1,2,2,2,1,2,1,1,1,1,1,1,5,1,3,3,1,360,1,1,2,1
99,6.2,68,2,2,1,1,1,1,0,0,1,0,0,0,0,0,2,0,1,1,0,62,0,1,1,2
100,8.64,92,0,2,2,2,2,2,2,1,1,1,1,1,1,1,7,1,5,4,1,311,1,2,0,1
101,9.09,99,0,4,2,1,1,2,1,2,2,2,1,1,1,1,6,1,2,4,1,558,1,2,1,0
102,6.35,61,4,4,1,0,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0,41,0,1,1,2
103,7.21,65,1,3,2,2,2,2,1,1,2,1,1,1,1,0,8,0,3,3,0,603,1,2,0,1
104,8.05,87,1,3,2,1,2,2,2,2,2,1,1,1,1,0,8,1,2,3,1,507,2,1,0,1
105,7.76,75,1,3,2,1,2,2,2,1,2,2,1,1,1,0,5,0,4,5,0,413,1,2,0,0
106,8.64,97,0,4,1,1,2,1,1,1,1,1,1,1,1,1,5,1,2,4,0,587,1,1,1,0
107,7.43,79,1,4,1,0,2,0,1,1,1,2,1,1,0,0,5,1,2,2,0,349,1,2,1,0
108,8.55,91,0,2,1,1,0,1,1,1,1,2,0,0,0,0,1,0,1,0,0,44,2,2,1,2
109,9.0,100,0,4,0,0,1,0,2,1,2,2,0,0,0,0,0,0,1,1,0,71,0,2,0,0
110,6.53,84,1,2,0,1,0,1,1,1,0,0,0,0,0,0,2,0,0,1,0,16,1,1,1,2
111,6.52,72,1,3,2,2,2,1,1,2,0,0,1,1,1,0,8,1,3,3,0,784,1,1,1,1
112,7.7,83,2,3,2,1,1,1,2,1,2,0,1,1,0,0,4,0,2,2,0,158,0,2,0,0
113,6.9,81,1,4,2,1,2,2,1,1,0,1,1,1,1,0,8,1,4,2,1,472,1,2,0,0
114,8.49,73,1,4,1,2,2,0,2,2,1,0,1,1,0,0,3,1,3,1,0,364,1,1,1,0
115,9.08,89,0,2,1,2,1,2,1,1,2,1,1,1,1,1,6,1,4,3,1,488,2,2,0,1
116,9.14,91,0,3,0,0,0,0,2,2,1,1,1,1,0,0,3,0,0,1,1,75,0,1,1,0
117,8.41,90,0,2,2,1,1,1,2,1,2,2,1,1,1,1,5,1,3,2,0,461,2,2,2,0
118,7.19,79,2,4,2,2,2,2,1,1,2,1,1,1,0,0,5,1,2,2,0,385,2,2,0,0
119,8.46,90,0,3,0,0,1,1,1,1,1,2,0,0,0,0,1,0,2,1,0,31,0,1,1,2
120,9.16,100,0,4,1,0,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,37,1,1,1,2
121,5.66,83,5,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,4,0,1,1,2
122,7.65,84,1,4,1,1,1,1,1,1,1,2,1,1,0,0,2,1,1,2,0,145,1,1,0,0
123,9.12,92,0,2,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,70,2,2,1,0
124,8.95,96,0,3,1,0,0,0,2,2,2,2,0,0,0,0,0,0,0,1,0,66,2,2,1,0
125,9.21,89,0,3,2,1,2,2,2,2,2,2,1,1,1,1,8,1,5,2,1,450,2,2,1,1
126,7.37,93,2,4,1,0,2,2,1,2,0,2,1,1,0,0,5,0,3,0,0,194,0,1,1,0
127,8.7,87,1,4,2,2,1,2,1,2,1,2,1,1,1,1,7,0,3,3,0,384,2,2,1,0
128,7.19,82,0,3,2,1,1,2,1,2,0,2,1,1,0,0,3,0,2,0,1,381,2,1,0,0
129,6.65,85,5,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,33,1,1,1,2
130,9.59,98,0,4,2,2,2,2,2,2,2,1,1,1,1,1,8,1,4,4,1,880,2,2,1,1
131,7.88,71,0,2,1,2,2,0,1,2,0,2,1,1,0,0,3,0,4,0,0,353,1,1,1,0
132,8.3,85,0,4,1,1,2,0,1,2,1,0,1,1,0,0,2,1,3,1,0,304,2,1,0,0
133,7.47,81,1,4,2,1,2,2,1,1,1,1,1,1,1,0,6,1,2,2,0,438,2,1,1,1
134,8.14,81,1,4,1,0,2,0,2,2,0,1,1,1,0,0,5,0,2,2,1,168,2,2,0,0
135,9.53,94,0,2,0,1,0,0,1,2,1,2,0,0,0,0,0,0,1,0,0,15,0,1,0,2
136,8.46,91,0,3,1,0,0,1,2,1,2,2,0,0,0,0,2,0,0,1,0,52,2,1,0,0
137,7.1,86,2,2,2,1,2,2,2,1,0,2,1,1,0,0,5,0,4,2,0,217,2,1,1,0
138,9.06,92,0,4,2,1,2,1,2,2,1,2,1,1,1,1,7,1,4,3,0,499,1,1,1,1
139,7.55,71,1,3,2,1,2,1,2,2,1,2,1,1,1,0,7,1,2,4,0,612,2,1,1,1
140,5.71,66,5,4,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,12,0,1,1,2
141,7.15,72,1,4,2,2,2,1,1,1,1,1,1,1,0,0,5,0,2,3,0,297,2,2,1,1
142,7.73,73,0,4,2,1,2,1,2,1,1,1,1,1,0,0,4,1,4,3,0,213,2,2,0,0
143,8.72,99,0,2,1,0,1,0,2,1,1,2,0,0,0,0,1,0,2,0,0,22,1,2,1,2
144,7.61,94,2,2,1,2,1,0,2,2,2,0,1,1,0,0,4,1,3,2,1,213,2,2,1,0
145,6.7,65,1,4,2,2,2,2,2,2,0,0,1,1,1,0,4,0,3,5,0,586,1,2,0,0
146,8.08,86,0,2,2,1,1,1,2,1,1,0,1,1,0,0,3,1,3,3,0,327,1,2,1,0
147,8.39,84,0,3,1,1,2,1,2,2,1,0,1,1,0,0,2,0,2,0,0,146,0,1,0,0
148,8.0,77,1,3,1,2,2,1,1,1,2,0,1,1,0,0,3,1,3,2,1,221,1,1,0,0
149,10.0,95,0,2,2,1,2,1,2,2,2,1,1,1,1,1,6,1,7,4,0,594,2,2,1,1
150,7.3,75,0,4,1,1,2,0,2,2,0,0,1,1,0,0,2,0,4,2,0,376,1,1,1,2
151,7.23,67,1,3,2,2,2,2,2,2,1,1,1,1,1,0,4,0,3,1,1,698,1,2,1,0
152,6.9,66,2,3,2,1,2,1,1,2,2,0,1,1,1,0,7,1,4,2,1,707,1,1,1,1
153,6.93,82,2,2,2,2,2,1,2,1,2,1,1,1,1,0,4,1,2,5,1,352,1,2,1,0
154,8.5,87,1,3,2,2,2,1,1,2,2,1,1,1,1,1,5,1,5,1,0,496,2,2,0,0
155,7.6,75,0,3,2,2,2,1,1,1,2,1,1,1,1,0,5,1,4,5,1,467,2,1,1,0
156,7.34,76,0,3,2,2,2,2,1,1,1,1,1,1,1,0,6,0,2,4,0,558,2,2,1,1
157,7.7,75,0,2,2,1,1,1,1,1,0,1,1,1,0,0,4,0,2,0,0,105,1,2,1,0
158,9.03,86,0,4,2,1,2,2,2,2,1,1,1,1,1,1,5,1,4,2,1,535,2,2,1,1
159,9.03,97,0,2,0,0,0,0,2,1,2,1,0,0,0,0,1,0,2,0,0,101,0,2,1,2
160,7.84,78,0,3,1,1,2,0,1,1,2,1,1,1,0,0,3,1,1,3,1,212,1,1,0,0
161,5.62,71,5,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,40,0,1,0,2
162,7.84,96,1,3,2,2,2,2,1,2,2,2,1,1,1,1,5,1,2,2,0,360,2,2,0,0
163,9.78,94,0,4,2,1,2,2,2,2,1,1,1,1,1,1,8,1,7,2,0,832,1,1,2,1
164,7.73,73,0,2,2,1,2,1,2,2,2,1,1,1,1,0,7,0,2,5,1,380,2,1,1,1
165,8.56,98,0,4,0,0,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,4,1,2,1,2
166,9.15,90,0,3,2,2,2,2,2,1,1,2,1,1,1,1,7,1,2,1,0,496,2,1,1,0
167,7.73,75,1,3,1,0,1,1,1,2,0,0,1,1,0,0,3,1,4,1,1,165,1,1,0,0
168,6.02,66,1,4,1,1,0,1,0,0,0,1,0,0,0,0,2,0,1,1,0,79,1,0,1,0
169,9.65,99,0,4,2,2,2,1,2,2,2,2,1,1,1,1,6,1,3,4,1,685,2,1,2,1
170,6.18,57,2,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,51,0,0,0,2
171,9.65,98,0,4,2,1,2,2,2,2,2,2,1,1,1,1,8,1,3,5,1,469,1,2,2,1
172,8.53,97,0,4,1,1,0,1,1,1,1,2,0,0,0,0,1,0,1,0,0,114,1,2,0,0
173,8.45,91,0,4,1,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,35,1,2,1,2
174,8.34,98,0,3,2,2,2,1,2,2,1,2,1,1,1,1,7,1,4,3,0,540,2,1,0,1
175,9.6,92,0,3,2,2,2,1,2,2,1,1,1,1,1,1,5,1,3,2,1,836,2,2,1,1
176,6.27,75,5,3,1,1,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0,57,0,0,0,2
177,7.73,71,2,2,2,1,2,2,2,2,1,1,1,1,1,0,7,1,2,2,0,600,2,2,1,1
178,8.94,100,0,4,2,2,2,2,2,2,2,1,1,1,1,1,6,1,4,2,1,467,1,2,2,1
179,7.3,93,1,3,2,1,1,1,2,1,2,2,1,1,0,0,4,0,1,2,0,213,2,1,0,0
180,7.37,82,1,4,2,2,2,2,2,1,1,1,1,1,1,0,6,1,3,1,1,574,1,2,0,0
181,7.78,70,0,3,2,2,2,1,1,1,1,2,1,1,1,0,6,1,4,4,0,503,1,2,2,0
182,8.58,93,1,3,1,2,2,2,1,2,1,2,1,1,1,1,5,1,3,2,1,302,1,1,0,0
183,8.22,83,1,4,1,1,2,0,1,1,0,1,1,1,0,0,3,1,1,1,0,202,1,2,1,0
184,8.98,95,0,3,2,1,2,2,2,2,2,2,1,1,1,1,5,1,4,2,0,708,1,1,2,1
185,6.85,88,2,4,2,2,2,2,2,1,0,0,1,1,1,0,6,0,2,2,0,549,2,2,0,0
186,6.86,85,0,2,2,1,2,1,2,2,2,2,1,1,1,0,4,0,2,4,1,682,2,1,2,1
187,7.86,96,1,4,2,2,2,2,1,1,2,1,1,1,1,1,4,1,5,3,1,266,1,2,1,1
188,8.76,91,1,2,2,2,2,2,2,1,1,2,1,1,1,1,5,1,4,3,0,383,2,2,0,0
189,7.38,86,1,3,2,1,1,1,2,2,2,0,1,1,0,0,2,0,4,2,0,199,1,1,0,0
190,9.75,95,0,2,2,2,2,1,2,2,2,2,1,1,1,1,6,1,6,2,1,625,2,2,2,1
191,7.39,79,0,4,2,0,1,1,2,2,1,2,1,1,0,0,2,1,4,1,0,242,1,2,1,0
192,9.36,99,0,4,0,0,0,0,2,1,1,1,0,0,0,0,2,0,2,1,0,114,1,2,1,0
193,8.74,94,0,3,1,0,0,0,1,2,1,2,0,0,0,0,2,0,1,0,0,53,0,2,0,2
194,8.0,91,1,4,1,1,1,1,1,1,0,1,1,1,0,0,2,1,2,2,0,129,2,2,1,0
195,8.22,98,1,4,2,2,2,1,2,2,1,1,1,1,1,1,5,1,3,4,1,454,2,2,2,0
196,6.17,80,1,3,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,44,0,0,0,2
197,8.64,98,0,3,1,0,0,1,1,2,1,2,0,0,0,0,0,0,1,1,0,60,1,2,1,2
198,8.26,73,2,4,2,1,2,2,2,1,1,0,1,1,0,0,4,0,2,1,1,392,0,2,1,0
199,5.74,69,1,3,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,80,1,0,1,2
200,9.7,90,0,4,2,2,2,2,2,2,1,2,1,1,1,1,6,1,6,2,1,722,2,2,1,1
201,7.34,73,2,4,1,2,2,1,1,2,1,1,1,1,0,0,3,1,2,2,1,126,1,2,1,0
202,7.69,91,0,3,2,1,1,1,2,1,1,0,1,1,0,0,3,1,4,0,1,229,1,1,1,0
203,5.9,66,4,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,55,0,1,0,2
204,6.25,85,5,4,1,0,1,0,1,1,1,0,1,1,0,0,3,1,1,1,0,34,1,0,0,2
205,8.43,83,1,4,2,1,1,1,1,1,2,2,1,1,1,1,4,1,3,1,1,259,1,1,0,0
206,7.46,85,2,4,2,1,2,1,2,2,1,2,1,1,1,0,6,1,4,3,0,792,1,1,2,0
207,7.95,90,1,3,2,1,2,1,2,1,2,2,1,1,1,1,7,0,5,1,0,494,1,2,1,0
208,7.47,77,2,4,1,0,2,2,2,1,0,0,1,1,0,0,2,0,1,2,0,292,2,1,1,0
209,8.92,94,0,2,2,1,2,1,2,2,2,2,1,1,1,1,5,1,7,5,0,669,2,2,1,1
210,7.48,75,0,3,2,0,2,2,2,2,2,2,1,1,0,0,4,0,2,2,1,385,0,1,0,0
211,9.99,93,0,3,2,1,2,2,2,2,1,2,1,1,1,1,6,1,7,3,0,698,1,1,2,1
212,5.95,65,4,4,1,1,1,0,0,1,0,1,0,0,0,0,2,0,1,0,0,75,0,0,0,2
213,8.97,83,0,3,2,2,1,2,2,2,1,1,1,1,1,1,6,1,5,1,1,301,1,2,1,1
214,9.28,90,0,4,0,0,1,1,1,2,2,1,0,0,0,0,1,0,0,1,0,117,0,2,1,2
215,7.97,97,1,4,1,1,1,1,1,1,1,1,1,1,1,1,5,1,4,1,1,592,2,2,2,0
216,8.9,92,0,3,2,1,2,1,2,2,2,2,1,1,1,1,8,1,6,3,0,692,2,1,1,1
217,7.06,74,2,4,2,1,2,1,1,1,1,2,1,1,1,0,7,1,4,3,0,648,2,2,1,1
218,6.82,55,1,3,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,72,1,1,0,2
219,8.12,82,0,4,2,2,2,2,1,2,1,1,1,1,1,1,4,1,2,2,1,323,2,2,2,0
220,8.22,98,1,3,2,2,1,2,2,1,2,1,1,1,1,1,6,1,5,4,0,562,1,1,0,1
221,7.87,88,2,4,2,1,2,1,2,2,0,0,1,1,1,0,7,1,3,2,1,789,2,2,0,0
222,6.47,83,2,2,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
223,8.87,91,0,4,2,1,2,1,2,2,1,1,1,1,1,1,7,1,7,3,1,702,2,2,2,1
224,8.74,95,0,2,0,0,0,1,1,2,1,2,0,0,0,0,1,0,0,0,0,77,0,1,0,2
225,6.05,75,2,4,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3,1,1,1,2
226,7.4,91,0,3,2,1,2,1,1,1,1,0,1,1,0,0,5,0,2,3,0,433,1,2,0,0
227,7.81,72,1,4,2,0,2,2,2,1,0,1,1,1,0,0,5,0,3,3,0,188,1,1,0,0
228,8.41,88,1,2,2,0,1,2,1,2,1,2,1,1,0,0,3,1,3,0,1,305,2,2,1,0
229,9.56,87,0,3,2,2,2,1,2,2,2,1,1,1,1,1,8,1,3,3,1,729,1,1,1,1
230,8.63,90,0,3,1,2,1,1,2,2,2,2,1,1,1,1,6,1,4,3,1,507,1,2,2,0
231,7.11,86,0,2,2,1,2,2,2,1,1,0,1,1,1,0,5,0,2,5,1,503,2,1,2,1
232,7.22,70,1,3,2,1,2,1,2,1,1,0,1,1,0,0,3,1,3,2,0,198,1,2,0,1
233,8.5,81,0,4,2,1,2,1,1,1,2,1,1,1,1,1,4,0,3,4,1,563,1,1,0,0
234,6.94,65,1,2,2,2,2,2,2,2,2,0,1,1,1,0,5,1,2,2,0,431,2,1,2,0
235,7.0,80,1,4,0,1,1,0,0,1,1,0,0,0,0,0,2,0,1,1,0,11,1,1,0,2
236,9.02,91,0,3,0,0,0,0,2,1,1,2,1,0,0,0,2,1,2,1,0,50,2,2,0,0
237,8.86,100,0,4,1,0,1,0,2,1,1,1,0,0,0,0,0,0,0,1,0,13,0,1,0,2
238,8.19,74,1,4,1,0,2,2,1,1,2,2,1,1,0,0,5,0,2,2,1,140,1,1,0,0
239,8.11,78,0,2,2,1,2,2,2,2,0,0,1,1,1,0,8,1,3,3,1,438,2,1,1,1
240,5.52,80,5,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,34,1,1,1,2
241,8.2,91,0,3,2,1,2,2,2,2,1,1,1,1,1,1,4,0,4,1,0,621,2,1,0,1
242,6.44,64,5,2,1,1,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,3,1,1,1,0
243,9.5,91,0,4,2,1,2,1,2,2,2,1,1,1,1,1,8,1,4,5,0,746,1,1,1,1
244,9.52,96,0,4,1,0,1,0,1,1,1,1,1,1,0,0,3,1,2,1,1,99,1,2,1,0
245,5.92,72,2,4,0,1,0,1,1,1,1,0,0,0,0,0,2,0,1,1,0,77,1,0,1,2
